Height_cm,Weight_kg
175.0,55.6
168.6,45.0
176.5,47.9
185.2,60.0
167.7,47.7
167.7,52.4
185.8,60.3
177.7,53.5
165.3,43.4
175.4,45.1
165.4,45.5
165.3,52.0
172.4,52.3
150.9,34.2
152.8,42.2
164.4,49.1
159.9,40.5
173.1,52.3
160.9,45.8
155.9,37.2
184.7,59.1
167.7,51.7
170.7,55.8
155.8,48.1
164.6,40.4
171.1,45.9
158.5,46.8
173.8,54.4
164.0,49.6
167.1,67.8
164.0,49.8
188.5,64.9
169.9,54.7
159.4,48.0
178.2,52.5
157.8,47.7
172.1,47.2
150.4,39.0
156.7,40.9
172.0,51.4
177.4,65.3
171.7,41.5
168.8,52.9
167.0,40.4
155.2,40.2
162.8,51.8
165.4,48.0
180.6,49.9
173.4,48.1
152.4,44.6
173.2,48.0
166.1,49.2
163.2,46.8
176.1,49.8
180.3,65.9
179.3,57.8
161.6,35.7
166.9,49.4
173.3,48.3
179.8,59.1
165.2,43.6
168.1,48.5
158.9,47.0
158.0,48.3
178.1,48.1
183.6,55.1
169.3,47.3
180.0,51.8
173.6,60.6
163.5,48.8
173.6,45.5
185.4,62.3
169.6,60.4
185.6,63.0
143.8,29.3
178.2,51.7
170.9,56.8
167.0,45.0
170.9,52.7
150.1,43.9
167.8,44.3
173.6,51.5
184.8,41.2
164.8,42.3
161.9,44.7
165.0,41.3
179.2,62.7
173.3,44.5
164.7,45.2
175.1,53.2
171.0,57.7
179.7,47.7
163.0,52.3
166.7,48.4
166.1,43.1
155.4,45.0
173.0,52.5
172.6,48.3
170.1,50.4
167.7,46.9
155.8,43.5
165.8,51.2
166.6,56.2
162.0,39.8
168.4,59.9
174.0,42.3
188.9,58.7
171.7,53.8
172.6,52.7
169.3,46.5
150.8,39.4
169.7,47.4
170.6,47.4
194.6,66.6
168.1,50.8
173.0,48.0
169.7,54.3
158.3,45.7
181.4,59.8
177.5,56.9
177.9,49.8
160.9,42.7
184.0,60.8
156.0,46.0
175.9,52.8
191.9,61.5
160.1,51.4
164.3,44.2
171.0,53.2
165.0,46.5
154.5,41.2
170.7,55.8
159.4,48.8
174.7,56.4
160.8,51.9
185.5,57.9
162.2,49.5
166.8,46.8
178.1,55.7
157.7,43.2
172.3,51.6
183.1,59.5
153.9,37.9
171.8,61.4
172.6,46.3
177.8,47.8
157.6,49.6
156.8,47.4
175.2,55.7
173.0,54.6
172.5,51.2
173.5,47.2
163.2,47.0
172.3,47.8
172.9,56.3
162.9,45.7
188.7,55.2
174.7,50.8
158.1,46.1
176.6,50.5
160.3,41.0
177.9,55.2
181.6,57.0
161.8,43.4
179.6,52.5
174.1,53.2
178.2,46.9
189.0,52.4
167.5,45.2
162.5,45.2
161.1,47.1
161.8,53.3
169.2,53.9
173.4,50.9
172.8,51.3
178.3,49.1
170.1,50.0
184.5,55.8
167.4,50.3
197.2,59.5
